frame,x,y,score
1988,170.0,422.0,0.4588
1989,168.0,420.0,0.4355
1990,166.0,418.0,0.4822
1991,166.0,418.0,0.4697
1992,164.0,418.0,0.3574
1993,162.0,416.0,0.3549
1994,160.0,416.0,0.3212
1995,158.0,414.0,0.3546
1996,156.0,414.0,0.3799
1997,152.0,414.0,0.4301
1998,150.0,412.0,0.3866
1999,148.0,412.0,0.3243
2000,148.0,412.0,0.4122
2001,146.0,410.0,0.4035
2002,144.0,408.0,0.4608
2003,142.0,408.0,0.4452
2004,138.0,406.0,0.4719
2005,136.0,406.0,0.435
2006,134.0,404.0,0.4449
2007,132.0,404.0,0.4529
2008,132.0,404.0,0.3852
2009,128.0,402.0,0.4163
2010,128.0,402.0,0.4094
2011,124.0,402.0,0.3752
2012,120.0,400.0,0.3546
2013,120.0,398.0,0.3463
2014,118.0,398.0,0.3305
2015,116.0,396.0,0.3355
2016,114.0,396.0,0.3886
2017,112.0,394.0,0.4077
2018,110.0,394.0,0.3705
2019,106.0,392.0,0.431
2020,104.0,392.0,0.4586
2021,102.0,392.0,0.4244
2022,100.0,390.0,0.3922
2023,98.0,390.0,0.448
2024,98.0,390.0,0.399
2025,96.0,388.0,0.4592
2026,94.0,388.0,0.3926
2027,90.0,388.0,0.3919
2028,88.0,386.0,0.4201
2029,88.0,384.0,0.3958
2030,84.0,384.0,0.3151
2031,84.0,382.0,0.3097
2032,82.0,382.0,0.3846
2033,80.0,380.0,0.4399
2034,76.0,380.0,0.4478
2035,74.0,380.0,0.4545
2036,72.0,378.0,0.4764
2037,70.0,378.0,0.4478
2038,70.0,378.0,0.3941
2039,68.0,376.0,0.4475
2040,64.0,376.0,0.4398
2041,64.0,376.0,0.4229
2042,60.0,376.0,0.4259
2043,58.0,374.0,0.4314
2044,56.0,374.0,0.3813
2045,54.0,372.0,0.3802
2046,50.0,372.0,0.3293
2047,50.0,370.0,0.2769
2048,48.0,370.0,0.2922
2049,46.0,368.0,0.2478
2050,44.0,368.0,0.2739
2051,42.0,366.0,0.3315
2052,42.0,366.0,0.3971
2053,38.0,364.0,0.4091
2054,36.0,364.0,0.3549
2055,34.0,362.0,0.3248
2056,32.0,362.0,0.3217
2057,32.0,360.0,0.3468
2058,30.0,360.0,0.3717
2059,28.0,360.0,0.3198
2060,26.0,358.0,0.417
